S.NO,University Name,State,District,College description,College Link,Location Link,12th Percentage,Entrance Percentage,Ranking,Stream Rank,OUTPUT
1,Indira Gandhi National Open University,Delhi,New Delhi,Indira Gandhi National Open University (IGNOU) New Delhi was established in 1985. IGNOU New Delhi is a government-owned co-ed university. IGNOU New Delhi has been recognized by the University Grants Commission (UGC). The university has been accredited by NAAC and it has received an ‘A++’ grade. IGNOU New Delhi has more than 100 faculty members and the student enrollment is more than 15 lakhs. ,http://ignou.ac.in/,https://goo.gl/maps/SfsYq66L9xvvDFsbA,55,55,71,1,YES
2,Jamia Millia Islamia,Delhi,New Delhi,"Jamia Millia Islamia (JMI) is a central university located in New Delhi, India. As per the latest NIRF Ranking 2022, the university ranks 3rd among the top universities in India. Jamia Millia Islamia admission 2022 is now open for UG courses. Candidates who have appeared in the CUET UG examination can apply online on the university’s official website - jmi.ac.in.",https://www.jmi.ac.in/,https://goo.gl/maps/NCaytJGjbrEMc3WU8,50,50,3,2,YES
3,SRM Institute of Science and Technology,Tamil Nadu,Chennai,"SRM Institute of Science and Technology (SRM IST), formerly known as SRM University, is one of the top-ranking universities in India with over 20,000 students and more than 2600 faculty across all the campus. It offers a wide range of undergraduate, postgraduate and doctoral programs in Engineering, Management, Medicine, Health Sciences, Science and Humanities.",https://www.srmist.edu.in/,https://goo.gl/maps/z7BsZBg1coy96UdJ8,50,60,19,3,YES
4,Maharaja Sayajirao University of Baroda,Gujarat,Baroda,"Maharaja Sayajirao University of Baroda is a private university . The university is recognized by UGC and has been accredited with an 'A' grade by the NAAC. It offers a plethora of UG, PG, and Doctoral courses in various faculties that include Engineering & Technology, Science, Arts, Commerce, Fine Arts, Law, Family & Community Services, Education & Psychology, Pharmacy, Journalism, Social Work, Management Studies, & Performing Arts.",https://www.msubaroda.ac.in/,https://g.page/TheMSUB?share,40,50,90,4,YES
5,Vellore Institute of Technology,Tamil Nadu,Vellore,"VIT admits bachelor students through its own engineering entrance exam, called the Vellore Institute of Technology Engineering Entrance Examination (VITEEE).It is conducted every year in the month of April and May. The exam has been conducted online since 2013 and in 2022, 212,000 students have registered. VITEEE 2022 was held on 30'th June - 6'th July 2022",https://vit.ac.in/,https://goo.gl/maps/hgQD3vdarwFDZP1eA,55,55,9,5,YES
6,Christ University, Karnataka,Bengaluru,"Christ University offers UG, PG, and Ph.D. programs through all five campuses. The university is quite popular for its B.Tech, and MBA programs. Every year more than 25000 students enroll in Christ University. Students aspiring to get admission into B.Tech should appear for the COMEDK exam. For those applying for Christ University MBA admission, appearing for the national-level management exams is a must. Christ University conducts the CUET entrance test for most of its UG and PG courses.",https://christuniversity.in/,https://goo.gl/maps/kN6GTxWdqatbPvYv7,55,40,71,6,YES
7, Lovely Professional University,Punjab,Phagwara,"LPU is a private university ranked 47th by NIRF in the Indian Universities ranking. LPU admission 2022 is currently ongoing. Admissions will be done through LPUNEST entrance exam. LPUNEST 2022 registrations are open till October 31, 2022. The exam is scheduled to be conducted from October 4 to 18, 2022. Also, LPU PhD registration is ongoing. As per the reports of LPU Placement 2021-22, a B.Tech student got placed at Google India with an INR 64.50 lakh package.",https://www.lpu.in/,https://g.page/LPUUniversity?share,60,55,47,7,YES
8,Banaras Hindu University,Uttar Pradesh,Varanasi,"BHU is a collegiate, central, and research university located in Varanasi, Uttar Pradesh, As per the latest NIRF Ranking 2022, the university ranks 6th among the top universities in India. BHU has released the first cutoff for admission to UG courses. Candidates can check the same on the university’s official website - bhuonline.in. Further, BHU admission 2022 is now open for PG courses. The last date to apply for admission is October 25. Candidates who have appeared in the CUET PG entrance examination can apply online on the official website. ",https://www.bhu.ac.in/,https://goo.gl/maps/Rakq5Nzp9nYeBRJs8,50,60,6,8,YES
9,University of Delhi,Delhi,Delhi,"Delhi University (DU) has released the list of vacant seats for CSAS round 2 allocation. Candidates can check the same on Delhi University’s official website - admission.uod.ac.in. Delhi University will release the 2nd merit list for UG admissions on October 30. Further, Delhi University has released the first cutoff list for NCWEB admission 2022. Candidates who have applied for admission can check NCWEB BA and B.Com first cutoff list on the official website. ",http://www.du.ac.in/,https://goo.gl/maps/FRukDt7VQXdQfUJcA,50,45,13,9,YES
10,Savitribai Phule Pune University,Maharashtra,Pune,"Savitribai Phule Pune University (SPPU), also known as UniPune, is one of the premier universities in India. It is approved by the UGC and accredited by NAAC with an ‘A’ grade. The university is popularly known as the 'Oxford of the East'. UniPune has been ranked 12th among top universities in India by NIRF 2022. It has over 700 affiliated colleges, 46 academic departments, and 52 research centres.",http://www.unipune.ac.in/,https://goo.gl/maps/QoBB86cSLfgA5gei7,55,55,12,10,YES
11,Jamia Hamdard, New Delh,Delhi,Jamia Hamdard University became a university in 1989 with the endorsement of the University Grants Commission (UGC). Jamia Hamdard is one of the top colleges in India. It was accredited in ‘A’ grade by NAAC and was ranked No. 1 for Pharmaceutical studies.,http://jamiahamdard.edu/,https://goo.gl/maps/z6S684pksuWb4vFs5,50,50,46,11,YES
12,Chandigarh University,Punjab,Mohali,Chandigarh University is a private university offering 200+ courses. The university is ranked 48th by NIRF 2022 in the Indian Universities ranking. Chandigarh University admission 2022-23 is now open for various UG and PG courses. Aspirants are required to appear for the Chandigrah University Common University Test (CUCET). The last date to apply for CUCET Phase 2 is October 8. Candidates can apply online on the university’s official website - cucet.cuchd.in. ,https://www.cuchd.in/,https://g.page/ChandigarhUni?share,50,55,29,12,YES
13,National Institute of Technology Tiruchirappalli,Tamil Nadu,Tiruchirappalli,"NIT Trichy is an autonomous technological institute established by the Govt of India. Since 2017, the institute has secured its first place among all other NITs in the NIRF rankings. For the year 2022, NIRF has placed NIT Trichy at 21 in Overall, 23 in Research, 8 in Engineering, 39 in Management, and 5 in the Architecture category. NIT Trichy admission 2022 is ongoing for the B.Tech program. ",https://www.nitt.edu/,https://goo.gl/maps/jCdSeTTq88JgF1HJ8,75,65,47,13,YES
14,Aligarh Muslim University,Uttar Pradesh,Aligarh,"Aligarh Muslim University (AMU) is one of India's largest central universities with an enrollment of more than 37327 students. The university welcomes students from all states in India and from different countries, especially Africa, West Asia, and Southeast Asia. AMU has now 13 faculties comprising 117 teaching departments, 3 academies, and 21 centres and institutes. ",https://www.amu.ac.in/,https://goo.gl/maps/bSXzBBmonzYchKdt9,55,80,11,14,YES
15,University of Hyderabad,Telangana,Hyderabad,"University of Hyderabad is a central university established in the year 1974. The university has been approved by UGC and accredited by NAAC. Hyderabad University provides postgraduate and doctorate level courses across different streams of engineering, management, science and technology etc. Admissions to these courses are based on written tests and entrance exams.",https://uohyd.ac.in/,https://g.page/hyderabad-central-university-hcu?share,60,60,10,15,YES
16,Sathyabama Institute of Science and Technology,Tamil Nadu,Chennai,"Sathyabama Institute of Science and Technology, Chennai is a Christian Minority Institution established in 1987. It is a deemed-to-be University accredited with Grade ‘A’ by National Assessment and Accreditation Council (NAAC). Sathyabama Institute of Science and Technology offers various Undergraduate, Postgraduate and Doctoral Programs in the field of Engineering, Architecture, Dental, Arts, Commerce, and Science.",https://www.sathyabama.ac.in/,https://goo.gl/maps/QuVeBJuw7TNTMuQB7,45,45,43,16,YES
